model,cv_accuracy_mean,cv_roc_auc_mean,cv_f1_mean,cv_precision_mean,cv_recall_mean
LogisticRegression,0.8000957327351179,0.8391219432208249,0.584862180301304,0.651549942608754,0.5309117563939522
XGBoost,0.7846330909099963,0.8214534897891543,0.5612090544296,0.6107629753889479,0.5196251942913663
RandomForest,0.7852627608374686,0.8213787284082013,0.5397282109201844,0.6260204709147847,0.474431256181998
